ID	page	entry	dutch	english	indonesian	form	variant_ID	form_common_transcription	form_common_segments	form_ipa_segments	crossref_form	crossref_common_transcription	crossref_common_segments	crossref_ID	crossref_ipa_segments	comment
1	475	A	oudere broeder of zuster	elderly brother or sister	saudara laki-laki atau perempuan yang lebih tua	aääoe		a'a'au	a ' a ' a u	a ʔ a ʔ a u						
2	475	A	neersmijten , neersmakken	throw down , knock down	lempar ke bawah, robohkan	aäpoe(w)a(q)	16	a'apu(w)a(')	a ' a p u ( w ) a ( ' )	a ʔ a p u ( w ) a ( ʔ )						
3	475	A	in , te , op	in , at , on	dalam, di, pada	aba		aba	a b a	a b a						
4	475	A	negen	nine	sembilan	abaiekahaieq	18	abaikahai'	a b a i k a h a i '	a b a i k a h a i ʔ						
5	475	A	geleiden , begeleiden	guide , accompany	memandu, menemani	abakoe(w)a(q)	19	abaku(w)a(')	a b a k u ( w ) a ( ' )	a b a k u ( w ) a ( ʔ )						
6	475	A	last van iemand die heengaat	burden of someone leaving	beban dari seseorang yang pergi	abaoe(w)aie(j)onie(j)a		abau(w)ai(y)oni(y)a	a b a u ( w ) a i ( y ) o n i ( y ) a	a b a u ( w ) a i ( j ) o n i ( j ) a						
7	475	A	onderzoek , navraag	investigation , enquiry	investigasi, penyelidikan	abapoe(w)apaoe(w)a		abapu(w)apau(w)a	a b a p u ( w ) a p a u ( w ) a	a b a p u ( w ) a p a u ( w ) a						
8	475	A	bamboeriet	bamboo reed	buluh bambu	abèha	460	abEha	a b E h a	a b ɛ h a						
9	475	A	braken	vomit	muntah	abèo		abEo	a b E o	a b ɛ o						
10	475	A	aandoen , aanhebben , gebruiken , zooals kleederen	put on , have on , use , such as clothes	memakai, memakai, menggunakan, seperti pakaian	aboeaqä		abua'a	a b u a ' a	a b u a ʔ a						
11	475	A	afgedaan , klaar , reeds , voltooid , gereed , ten einde , in orde gekomen uit een verwarden toestand , gedaan hebben met iets , tot rust gekomen	finished , ready , already , completed , finished , finished , finished , come in order from a confused state , done with something , come to rest	selesai, siap, sudah, sudah selesai, selesai, selesai, selesai, selesai, beres dari keadaan bingung, selesai dengan sesuatu, beristirahat	aböha		abu̇ha	a b u̇ h a	a b ɨ h a						
12	475	A	herwaarts , hierheen	hither , here	di sini, di sini	adèq	43	adE'	a d E '	a d ɛ ʔ						
13	475	A	antwoord , antwoorden , antwoord geven	answer , reply , give answer	jawab, balas, berikan jawaban	adie	44	adi	a d i	a d i						
14	475	A	vijf	five	lima	adieba	46	adiba	a d i b a	a d i b a						
15	475	A	zeven	seven	tujuh	adieba_hie_adoe(w)a	45	adiba_hi_adu(w)a	a d i b a _ h i _ a d u ( w ) a	a d i b a _ h i _ a d u ( w ) a						
16	475	A	kwaad doen , kwaad stichten	do evil , cause evil	melakukan kejahatan, menyebabkan kejahatan	ado		ado	a d o	a d o						
17	475	A	twee	two	dua	adoe(w)a	50	adu(w)a	a d u ( w ) a	a d u ( w ) a						
18	475	A	roepen , bij den naam roepen , noemen	call , call by name , mention	panggil, panggil dengan nama, sebutkan	ahadie		ahadi	a h a d i	a h a d i						
19	475	A	zich oprichten , opstaan , overeind zetten	raise oneself up , stand up , put upright	mengangkat diri sendiri, berdiri, tegak	ahado		ahado	a h a d o	a h a d o						
20	475	A	met de hand drukkend over een lichaamsdeel strijken	stroke a part of the body with the hand , pressing it	membelai bagian tubuh dengan tangan, menekannya	ahapieorie		ahapiori	a h a p i o r i	a h a p i o r i						
21	475	A	hoop , stapel , opgehoopt	hope , pile , accumulated	harapan, tumpukan, akumulasi	ahapoie		ahapoi	a h a p o i	a h a p o i						
22	475	A	verzoek , verzoeken	request , requests	permintaan, permintaan	aharie		ahari	a h a r i	a h a r i						
23	475	A	kiezen , uitkiezen , een keuze doen uit	choose , pick , make a choice from	memilih, memilih, membuat pilihan dari	aharieohoie		ahariohoi	a h a r i o h o i	a h a r i o h o i						
24	475	A	besproeien , begieten	spray , water	semprotan, air	ahèmoie		ahEmoi	a h E m o i	a h ɛ m o i						
25	475	A	verbranden , in brand steken	burn , set on fire	membakar, membakar	ahiebie		ahibi	a h i b i	a h i b i						
26	475	A				ahiemahona		ahimahona	a h i m a h o n a	a h i m a h o n a	mahona	mahona	m a h o n a		m a h o n a	
27	475	A	gedachte , nadenken , overdenken	thought , ponder , contemplate	berpikir , merenungkan , merenungkan	ahopaq		ahopa'	a h o p a '	a h o p a ʔ						
28	475	A	groot , dik , zwaar	big , fat , heavy	besar, gemuk, berat	aieiejo		aiiyo	a i i y o	a i i j o						
29	475	A	achteruitgaan , achterwaarts gaan	going backwards , going backwards	mundur, mundur ke belakang	aiekoie	25	aikoi	a i k o i	a i k o i						
30	475	A	achteruitgaan , achterwaarts gaan	going backwards , going backwards	mundur, mundur ke belakang	aiekoie(j)aq	26	aikoi(y)a'	a i k o i ( y ) a '	a i k o i ( j ) a ʔ						
31	475	A	volgen , achternagaan , gehoorzamen , navolgen	follow chase , obey , follow	mengikuti mengejar, mematuhi, mengikuti	ajoqoie		ayo'oi	a y o ' o i	a j o ʔ o i						
32	475	A	zes	six	enam	akieäkiena	31	aki'akina	a k i ' a k i n a	a k i ʔ a k i n a						
33	476	A	aan iets denken , zich iets herinneren , op zijne hoede zijn , het bewust denken , zich bewust zijn	thinking of something , remembering something , being on one's guard , thinking it consciously , being aware of it	memikirkan sesuatu, mengingat sesuatu, waspada, memikirkannya secara sadar, menyadarinya	akiedaq	32	akida'	a k i d a '	a k i d a ʔ						
34	476	A	wees op uwe hoede	be on your guard	waspada	akiedaqöö		akida'u̇u̇	a k i d a ' u̇ u̇	a k i d a ʔ ɨ ɨ						
35	476	A	ik herinner het mij weder	I remember again	Aku ingat lagi	oe(w)aho_bakiekiedaq		u(w)aho_bakikida'	u ( w ) a h o _ b a k i k i d a '	u ( w ) a h o _ b a k i k i d a ʔ						
36	476	A	in de zonnehitte gedroogd	dried in the heat of the sun	dikeringkan di bawah terik matahari	akiehaäq	28	akiha'a'	a k i h a ' a '	a k i ç a ʔ a ʔ						
37	476	A	kiezen , uitkiezen , eene keuze doen uit	choose , pick , choose between	pilih, pilih, pilih di antara	akienaie	29	akinai	a k i n a i	a k i n a i						
38	476	A	vermeerderen , toenemen	multiply , increase	berkembang biak, meningkat	akohaie		akohai	a k o h a i	a k o h a i						
