ID	FORM_ID	variant	variant_common_transcription	variant_common_segments	variant_ipa_segments
16	2	aäfoe(w)a(q)	a'afu(w)a(')	a ' a f u ( w ) a ( ' )	a ʔ a f u ( w ) a ( ʔ )
18	4	abaiekahaèq	abaikahaE'	a b a i k a h a E '	a b a i k a h a ɛ ʔ
19	5	abako(w)a	abako(w)a	a b a k o ( w ) a	a b a k o ( w ) a
19	5	abako(w)ĕ	abako(w)ė	a b a k o ( w ) ė	a b a k o ( w ) ə
460	8	wabèha	wabEha	w a b E h a	w a b ɛ h a
43	12	arèq	arE'	a r E '	a r ɛ ʔ
44	13	arie	ari	a r i	a r i
46	14	arieba	ariba	a r i b a	a r i b a
46	14	aliebĕ	alibė	a l i b ė	a l i b ə
45	15	arieba_hie_adoe(w)a	ariba_hi_adu(w)a	a r i b a _ h i _ a d u ( w ) a	a r i b a _ h i _ a d u ( w ) a
45	15	aliebĕ_hie_adoe(w)ĕ	alibė_hi_adu(w)ė	a l i b ė _ h i _ a d u ( w ) ė	a l i b ə _ h i _ a d u ( w ) ə
50	17	aroe(w)a	aru(w)a	a r u ( w ) a	a r u ( w ) a
50	17	adoe(w)ĕ	adu(w)ė	a d u ( w ) ė	a d u ( w ) ə
25	29	aèkoie	aEkoi	a E k o i	a ɛ k o i
26	30	aèkoie(j)aq	aEkoi(y)a'	a E k o i ( y ) a '	a ɛ k o i ( j ) a ʔ
31	32	akieäkienĕ	aki'akinė	a k i ' a k i n ė	a k i ʔ a k i n ə
32	33	akietaq	akita'	a k i t a '	a k i t a ʔ
28	36	akèhaäq	akEha'a'	a k E h a ' a '	a k ɛ h a ʔ a ʔ
29	37	akènaie	akEnai	a k E n a i	a k ɛ n a i
34	39	akoroe	akoru	a k o r u	a k o r u
73	41	èahèaqja	EahEa'ya	E a h E a ' y a	ɛ a h ɛ a ʔ j a
36	44	amoeno	amuno	a m u n o	a m u n o
36	44	moeno	muno	m u n o	m u n o
36	44	kĕno	kėno	k ė n o	k ə n o
36	44	koeno	kuno	k u n o	k u n o
35	46	amoeafĕ	amuafė	a m u a f ė	a m u a f ə
37	47	amoho	amoho	a m o h o	a m o h o
143	49	èkiena	Ekina	E k i n a	ɛ k i n a
143	49	èkienĕ	Ekinė	E k i n ė	ɛ k i n ə
462	51	waniemaie	wanimai	w a n i m a i	w a n i m a i
40	54	anoqoe	ano'u	a n o ' u	a n o ʔ u
39	58	anoqè(j)ĕ	ano'E(y)ė	a n o ' E ( y ) ė	a n o ʔ ɛ ( j ) ə
41	60	aoeloe	aulu	a u l u	a u l u
10	61	a(o)fa	a(o)fa	a ( o ) f a	a ( o ) f a
14	62	a(o)fahiea(o)fa	a(o)fahia(o)fa	a ( o ) f a h i a ( o ) f a	a ( o ) f a h i a ( o ) f a
52	69	aroekoe(w)o	aruku(w)o	a r u k u ( w ) o	a r u k u ( w ) o
53	70	aroekoe(w)o_è(a)karoba	aruku(w)o_E(a)karoba	a r u k u ( w ) o _ E ( a ) k a r o b a	a r u k u ( w ) o _ ɛ ( a ) k a r o b a
54	78	bahabaiebĕ	bahabaibė	b a h a b a i b ė	b a h a b a i b ə
55	80	baöadie	ba'oadi	b a ' o a d i	b a ʔ o a d i
56	84	bèdie	bEdi	b E d i	b ɛ d i
58	92	daiekahadie(j)ĕ	daikahadi(y)ė	d a i k a h a d i ( y ) ė	d a i k a h a d i ( j ) ə
59	96	die(j)ĕ	di(y)ė	d i ( y ) ė	d i ( j ) ə
184	105	èoä(h)ko	Eo'a(h)ko	E o ' a ( h ) k o	ɛ o ʔ a ( h ) k o
