Left	Grapheme	Right	Class	Replacement
	oeoe			u'u
(ai)	h			x
(?<!a)i	h			x
	nj			ñ
	tj			c
	dj			j
	ää			a'a
	qä			'a
	\(q\)ä			(') a
	ié			i
	iè			i
	oe			u
	oè			u
	ĕä			ė'a
	öä			o'a
	ïï			i'i
	öö			o'o
	ä\(ä\)			a ('a)
	 			 
	\(			(
	\)			)
	\,			,
	\:			:
	\;			;
	\?			?
	a			a
	á			a
	à			à
[aiueo]	ä			'a
[aiueo]\(	ä			'a
[aiueo]\)	ä			'a
	b			b
	d			d
	e			e
	é			é
	è			E
	ĕ			ė
	ě			ė
	f			f
	g			g
	h			h
	i			i
	j			j
	k			k
	l			l
	m			m
	n			n
	o			o
[aiueo]	ö			'o
[aiueo]\(	ö			'o
[aiueo]\)	ö			'o
[^aiueo()]	ö			u̇
[^aiueo]\(	ö			u̇
[^aiueo]\)	ö			u̇
	p			p
	q			'
	r			r
	t			t
	u			u
	w			w
