originals	errors
15	adieba hie adoe(w)a	a d i e b a ⁇ h i e ⁇ a d oe ( w ) a
35	oe(w)aho bakiekiedaq	oe ( w ) a h o ⁇ b a k i e k i e d a q
38	akohaie; maäkohaie	a k o h a i e ; ⁇ m a ä k o h a i e
47	amoehoe; èienoeqoe(q)	a m oe h oe ; ⁇ è i e n oe q oe ( q )
70	aroekoe(w)a è(a)karoba	a r oe k oe ( w ) a ⁇ è ( a ) k a r o b a
75	baba; oebaba	b a b a ; ⁇ oe b a b a
76	baba; oebaba	b a b a ; ⁇ oe b a b a
82	bĕlie(j)oeng	b ĕ l i e ( j ) oe n ⁇
83	bĕnang	b ĕ n a n ⁇
140	èhèjog	è h è j o ⁇
186	èapoe èkoe(w)o	è a p oe ⁇ è k oe ( w ) o
192	èara: èhöda	è a r a ⁇ ⁇ è h ö d a
215	èbaka: (è)oewè	è b a k a ⁇ ⁇ ( è ) oe w è
241	èdado; èdadoèoedoe	è d a d o ; ⁇ è d a d oè oe d oe
256	èdieoboe; èdieoboedie(j)ĕ	è d i e o b oe ; ⁇ è d i e o b oe d i e ( j ) ĕ
258	èdoboe kanapoe(w)a	è d o b oe ⁇ k a n a p oe ( w ) a
284	èènono; èènono: oepo	è è n o n o ; ⁇ è è n o n o ⁇ ⁇ oe p o
310	kèo hèla	k è o ⁇ h è l a
359	è(j)araq noeha	è ( j ) a r a q ⁇ n oe h a
408	èkarieha oe(w)apo	è k a r i e h a ⁇ oe ( w ) a p o
415	èkèkong	è k è k o n ⁇
429	ékiehie	⁇ k i e h i e
436	èieha kiehohè(j)a die(j)a	è i e h a ⁇ k i e h o h è ( j ) a ⁇ d i e ( j ) a
516	ènaè(na): oe(w)apo	è n a è ( n a ) ⁇ ⁇ oe ( w ) a p o
538	apieha èodiedie(j)a	a p i e h a ⁇ è o d i e d i e ( j ) a
549	èoeba: èkaèn	è oe b a ⁇ ⁇ è k a è n
557	èoedoe bèlo(w)a	è oe d oe ⁇ b è l o ( w ) a
584	è(o)hora; è(o)horaoekèèpa	è ( o ) h o r a ; ⁇ è ( o ) h o r a oe k è è p a
592	èokoeh; èokoehèoedoe	è o k oe h ; ⁇ è o k oe h è oe d oe
661	èpieho; èpiehooe(è)oe(w)è	è p i e h o ; ⁇ è p i e h o oe ( è ) oe ( w ) è
678	èpoe(oe)qoe: oe(w)apo	è p oe ( oe ) q oe ⁇ ⁇ oe ( w ) a p o
681	èpoeroedoe(ie): èoedoe	è p oe r oe d oe ( i e ) ⁇ ⁇ è oe d oe
684	èpoeroedoe(ie): aniemaie	è p oe r oe d oe ( i e ) ⁇ ⁇ a n i e m a i e
700	garam	⁇ a r a m
701	goeroe	⁇ oe r oe
744	ieho akoloe poq	i e h o ⁇ a k o l oe ⁇ p o q
794	kabáèlo	k a b ⁇ è l o
833	kahao: èmanie	k a h a o ⁇ ⁇ è m a n i e
922	kapal api	k a p a l ⁇ a p i
979	kiedie (è)kèho	k i e d i e ⁇ ( è ) k è h o
984	kiediepoe (èq)èhoenè	k i e d i e p oe ⁇ ( è q ) è h oe n è
993	kiedodo iedjie	k i e d o d o ⁇ i e dj i e
1010	kie(j)abaq iekèo	k i e ( j ) a b a q ⁇ i e k è o
1049	kiemèmè èbahaoeq	k i e m è m è ⁇ è b a h a oe q
1062	kienono: è(j)a	k i e n o n o ⁇ ⁇ è ( j ) a
1078	kiepadie; kiepadieoeiedjie	k i e p a d i e ; ⁇ k i e p a d i e oe i e dj i e
1083	kiepa; kiepakiepa pahoeoenaq	k i e p a ; ⁇ k i e p a k i e p a ⁇ p a h oeoe n a q
1098	kiepĕraiedie(j)og	k i e p ĕ r a i e d i e ( j ) o ⁇
1119	koahie(j)a kapoe	k o a h i e ( j ) a ⁇ k a p oe
1126	koedè: iejaha	k oe d è ⁇ ⁇ i e j a h a
1136	koeie; koeie karieha	k oe i e ; ⁇ k oe i e ⁇ k a r i e h a
1180	miena; mienaoe(w)apo	m i e n a ; ⁇ m i e n a oe ( w ) a p o
1188	moko èodie die(j)a	m o k o ⁇ è o d i e ⁇ d i e ( j ) a
1203	noaha; kienoaha	n o a h a ; ⁇ k i e n o a h a
1264	pahadoho; pahadoho èkiedjaie(j)oe	p a h a d o h o ; ⁇ p a h a d o h o ⁇ è k i e dj a i e ( j ) oe
1297	kèo pakoenaq aiekiedjaieboe	k è o ⁇ p a k oe n a q ⁇ a i e k i e dj a i e b oe
1311	kie(j)abaq panakona	k i e ( j ) a b a q ⁇ p a n a k o n a
1380	adieba hie adoe(w)a	a d i e b a ⁇ h i e ⁇ a d oe ( w ) a
1381	arieba hie aroe(w)a	a r i e b a ⁇ h i e ⁇ a r oe ( w ) a
1382	aliebĕ hie adoe(w)ĕ	a l i e b ĕ ⁇ h i e ⁇ a d oe ( w ) ĕ
1383	a(o)pa hie a(o)pa	a ( o ) p a ⁇ h i e ⁇ a ( o ) p a
1386	kiepa(a)oeq hie (è)kahaèq	k i e p a ( a ) oe q ⁇ h i e ⁇ ( è ) k a h a è q
1387	kiepa(a)oeq hie adoe(w)a	k i e p a ( a ) oe q ⁇ h i e ⁇ a d oe ( w ) a
1388	kiepa(a)oeq hie aroe(w)a	k i e p a ( a ) oe q ⁇ h i e ⁇ a r oe ( w ) a
1389	kiepa(a)oeq hie adoe(w)ĕ	k i e p a ( a ) oe q ⁇ h i e ⁇ a d oe ( w ) ĕ
1390	(è)kahaèq taka	( è ) k a h a è q ⁇ t a k a
1391	(è)kahaèq taka hie (è)kahaèq	( è ) k a h a è q ⁇ t a k a ⁇ h i e ⁇ ( è ) k a h a è q
1392	(è)kahaèq taka hie kiepa(a)oeq	( è ) k a h a è q ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q
1393	(è)kahaèq taka hie kiepa(a)oeq, hie (è)kahaèq	( è ) k a h a è q ⁇ t a k a ⁇ h i e ⁇ k i e p a ( a ) oe q ⁇ ⁇ h i e ⁇ ( è ) k a h a è q
1394	adoe(w)a taka	a d oe ( w ) a ⁇ t a k a
1395	aroe(w)a taka	a r oe ( w ) a ⁇ t a k a
