Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	\-			-	-	0
	oeoe			u'u	uʔu	19
	nj			ñ	ɲ	8
	tj			c	t͡ʃ	12
	dj			j	d͡ʒ	39
	ää			a'a	aʔa	3
	qä			'a	ʔa	19
	\(q\)ä			(') a	(ʔ) a	1
	ié			i	i	0
	iè			i	i	1
	oe			u	u	584
	oè			u	u	8
	öä			o'a	oʔa	1
	ïï			i'i	iʔa	0
	öö			o'o	oʔo	2
	ä\(ä\)			a ('a)	a (ʔa)	1
(ie)	h			x	ç	51
(ai)	h			x	ç	0
(?<!a)i	h			x	ç	0
[aiueo]	ä			'a	ʔa	91
[aiueo]\(	ä			'a	ʔa	5
[aiueo]\)	ä			'a	ʔa	1
[aiueo]	ö			'o	ʔo	58
[aiueo]\(	ö			'o	ʔo	6
[aiueo]\)	ö			'o	ʔo	0
[^aiueo()]	ö			u̇	ɨ	42
[^aiueo]\(	ö			u̇	ɨ	0
[^aiueo]\)	ö			u̇	ɨ	2
	\(			(	(	466
	\)			)	)	466
	\/			/	/	0
	;			;	;	16
	\?			?	?	2
	\[			[	[	0
	\]			]	]	0
	a			a	a	1871
	ā			ā	aː	0
	ã			ã	ã	0
	b			b	b	210
	d			d	d	306
	e			e	e	933
	è			E	ɛ	990
	ĕ			ė	ə	44
	ě			ė	ə	0
	f			f	f	5
	h			h	h	486
	i			i	i	935
	ĩ			ĩ	ĩ	0
	j			y	j	242
	k			k	k	1045
	l			l	l	46
	m			m	m	141
	n			n	n	337
	o			o	o	900
	õ			õ	ɔ͂	0
	p			p	p	481
	q			'	ʔ	344
	r			r	r	136
	t			t	t	37
	u			u	u	2
	w			w	w	163
