originals	tokenized	transliterated
aääoe	a ä ä oe	a ʔ a ʔ a u
aäpoe(w)a(q)	a ä p oe ( w ) a ( q )	a ʔ a p u ( w ) a ( ʔ )
aba	a b a	a b a
abaiekahaieq	a b a ie k a h a ie q	a b a i k a h a i ʔ
abakoe(w)a(q)	a b a k oe ( w ) a ( q )	a b a k u ( w ) a ( ʔ )
abaoe(w)aie(j)onie(j)a	a b a oe ( w ) a ie ( j ) o n ie ( j ) a	a b a u ( w ) a i ( j ) o n i ( j ) a
abapoe(w)apaoe(w)a	a b a p oe ( w ) a p a oe ( w ) a	a b a p u ( w ) a p a u ( w ) a
abèha	a b è h a	a b ɛ h a
abèo	a b è o	a b ɛ o
aboeaqä	a b oe a qä	a b u a ʔ a
aböha	a b ö h a	a b ɨ h a
adèq	a d è q	a d ɛ ʔ
adie	a d ie	a d i
adieba	a d ie b a	a d i b a
adieba hie adoe(w)a	a d ie b a # h ie # a d oe ( w ) a	a d i b a # h i # a d u ( w ) a
ado	a d o	a d o
adoe(w)a	a d oe ( w ) a	a d u ( w ) a
ahadie	a h a d ie	a h a d i
ahado	a h a d o	a h a d o
ahapieorie	a h a p ie o r ie	a h a p i o r i
ahapoie	a h a p o ie	a h a p o i
aharie	a h a r ie	a h a r i
aharieohoie	a h a r ie o h o ie	a h a r i o h o i
ahèmoie	a h è m o ie	a h ɛ m o i
ahiebie	a h ie b ie	a h i b i
ahiemahona	a h ie m a h o n a	a h i m a h o n a
ahopaq	a h o p a q	a h o p a ʔ
aieiejo	a ie ie j o	a i i j o
aiekoie	a ie k o ie	a i k o i
aiekoie(j)aq	a ie k o ie ( j ) a q	a i k o i ( j ) a ʔ
ajoqoie	a j o q o ie	a j o ʔ o i
akieäkiena	a k ie ä k ie n a	a k i ʔ a k i n a
akiedaq	a k ie d a q	a k i d a ʔ
akiedaqöö	a k ie d a q ö ö	a k i d a ʔ ɨ ɨ
oe(w)aho bakiekiedaq	oe ( w ) a h o # b a k ie k ie d a q	u ( w ) a h o # b a k i k i d a ʔ
akiehaäq	a k ie h a ä q	a k i ç a ʔ a ʔ
akienaie	a k ie n a ie	a k i n a i
akohaie; maäkohaie	a k o h a ie ; # m a ä k o h a ie	a k o h a i ; # m a ʔ a k o h a i
akoloe	a k o l oe	a k o l u
ama	a m a	a m a
amahèaqja	a m a h è a q j a	a m a h ɛ a ʔ j a
amanaie	a m a n a ie	a m a n a i
amĕnaq	a m ĕ n a q	a m ə n a ʔ
amĕno	a m ĕ n o	a m ə n o
amèq	a m è q	a m ɛ ʔ
amoeapo	a m oe a p o	a m u a p o
amoehoe; èienoeqoe(q)	a m oe h oe ; # è ie n oe q oe ( q )	a m u h u ; # ɛ i n u ʔ u ( ʔ )
èkariehie	è k a r ie h ie	ɛ k a r i ç i
èkienè	è k ie n è	ɛ k i n ɛ
ana	a n a	a n a
aniemaie	a n ie m a ie	a n i m a i
anoekoöq	a n oe k o ö q	a n u k o ʔ o ʔ
anohakèkè	a n o h a k è k è	a n o h a k ɛ k ɛ
anoqö	a n o q ö	a n o ʔ ɨ
anokè	a n o k è	a n o k ɛ
anokie	a n o k ie	a n o k i
anoöho	a n o ö h o	a n o ʔ o h o
anoqè(j)a	a n o q è ( j ) a	a n o ʔ ɛ ( j ) a
aoe	a oe	a u
aoedoe	a oe d oe	a u d u
a(o)pa	a ( o ) p a	a ( o ) p a
a(o)pahiea(o)pa	a ( o ) p a h ie a ( o ) p a	a ( o ) p a h i a ( o ) p a
apieaie	a p ie a ie	a p i a i
a(p)ie(j)aka	a ( p ) ie ( j ) a k a	a ( p ) i ( j ) a k a
kie(a)pie(j)aka	k ie ( a ) p ie ( j ) a k a	k i ( a ) p i ( j ) a k a
apienie	a p ie n ie	a p i n i
apoie	a p o ie	a p o i
apoie	a p o ie	a p o i
aroekoe(w)a	a r oe k oe ( w ) a	a r u k u ( w ) a
aroekoe(w)a è(a)karoba	a r oe k oe ( w ) a # è ( a ) k a r o b a	a r u k u ( w ) a # ɛ ( a ) k a r o b a
aroeoeieoe(w)a	a r oeoe ie oe ( w ) a	a r u ʔ u i u ( w ) a
awa(h)	a w a ( h )	a w a ( h )
awanaq	a w a n a q	a w a n a ʔ
ba(a)oe(w)a	b a ( a ) oe ( w ) a	b a ( a ) u ( w ) a
baba; oebaba	b a b a ; # oe b a b a	b a b a ; # u b a b a
baba; oebaba	b a b a ; # oe b a b a	b a b a ; # u b a b a
badjoe	b a dj oe	b a d͡ʒ u
bahabaieba	b a h a b a ie b a	b a h a b a i b a
bahora	b a h o r a	b a h o r a
baoe(w)adie	b a oe ( w ) a d ie	b a u ( w ) a d i
barieboerieboe	b a r ie b oe r ie b oe	b a r i b u r i b u
bĕlie(j)oeng	b ĕ l ie ( j ) oe n g	b ə l i ( j ) u n g
bĕnang	b ĕ n a n g	b ə n a n g
biedie	b ie d ie	b i d i
boe	b oe	b u
boe	b oe	b u
boeboeqie	b oe b oe q ie	b u b u ʔ i
boedahiejaq	b oe d a h ie j a q	b u d a h i j a ʔ
boeodo	b oe o d o	b u o d o
boeodo	b oe o d o	b u o d o
dadoe(oe)	d a d oe ( oe )	d a d u ( u )
daiekahadie(j)a	d a ie k a h a d ie ( j ) a	d a i k a h a d i ( j ) a
dajo	d a j o	d a j o
daraqie	d a r a q ie	d a r a ʔ i
dètar	d è t a r	d ɛ t a r
die(j)a	d ie ( j ) a	d i ( j ) a
dja(ä)oe(w)a	dj a ( ä ) oe ( w ) a	d͡ʒ a ( ʔ a ) u ( w ) a
dodo	d o d o	d o d o
dödöhöka	d ö d ö h ö k a	d ɨ d ɨ h ɨ k a
dodokaqäq	d o d o k a qä q	d o d o k a ʔ a ʔ
è	è	ɛ
èa	è a	ɛ a
èa	è a	ɛ a
èaähaie	è a ä h a ie	ɛ a ʔ a h a i
èaä(h)ko	è a ä ( h ) k o	ɛ a ʔ a ( h ) k o
maä(h)ko	m a ä ( h ) k o	m a ʔ a ( h ) k o
èa(ä)haoie	è a ( ä ) h a o ie	ɛ a ( ʔ a ) h a o i
èaäkoe	è a ä k oe	ɛ a ʔ a k u
èaäkoha	è a ä k o h a	ɛ a ʔ a k o h a
èaäoe	è a ä oe	ɛ a ʔ a u
èaäq	è a ä q	ɛ a ʔ a ʔ
èabaä	è a b a ä	ɛ a b a ʔ a
èabaäo	è a b a ä o	ɛ a b a ʔ a o
èabadie(j)o	è a b a d ie ( j ) o	ɛ a b a d i ( j ) o
èabaoekiedaie	è a b a oe k ie d a ie	ɛ a b a u k i d a i
èabaoe(w)a	è a b a oe ( w ) a	ɛ a b a u ( w ) a
èabo	è a b o	ɛ a b o
èaboebaja	è a b oe b a j a	ɛ a b u b a j a
èadahohoe	è a d a h o h oe	ɛ a d a h o h u
èadieho	è a d ie h o	ɛ a d i ç o
èadoe(w)a	è a d oe ( w ) a	ɛ a d u ( w ) a
èadoö(w)ie	è a d o ö ( w ) ie	ɛ a d o ʔ o ( w ) i
èaèkaboe	è a è k a b oe	ɛ a ɛ k a b u
èahabaoeda	è a h a b a oe d a	ɛ a h a b a u d a
èahaboe(w)a	è a h a b oe ( w ) a	ɛ a h a b u ( w ) a
èahaie	è a h a ie	ɛ a h a i
èahaienjoqä	è a h a ie nj o qä	ɛ a h a i ɲ o ʔ a
èahaoedohoie	è a h a oe d o h o ie	ɛ a h a u d o h o i
èahèdie(j)a	è a h è d ie ( j ) a	ɛ a h ɛ d i ( j ) a
èahoepoq	è a h oe p o q	ɛ a h u p o ʔ
èahopè	è a h o p è	ɛ a h o p ɛ
èaie	è a ie	ɛ a i
èajo	è a j o	ɛ a j o
èakakoq	è a k a k o q	ɛ a k a k o ʔ
èanaöa	è a n a ö a	ɛ a n a ʔ o a
èaoeno	è a oe n o	ɛ a u n o
èawieka	è a w ie k a	ɛ a w i k a
èboeboe	è b oe b oe	ɛ b u b u
èhaie(j)oeĕq	è h a ie ( j ) oe ĕ q	ɛ h a i ( j ) u ə ʔ
èhèjog	è h è j o g	ɛ h ɛ j o g
è(j)anoqäq	è ( j ) a n o qä q	ɛ ( j ) a n o ʔ a ʔ
èkabaroekoe	è k a b a r oe k oe	ɛ k a b a r u k u
èkahaie(j)abie	è k a h a ie ( j ) a b ie	ɛ k a h a i ( j ) a b i
èkahoro	è k a h o r o	ɛ k a h o r o
èkaiedodo	è k a ie d o d o	ɛ k a i d o d o
èkapaqie(j)o	è k a p a q ie ( j ) o	ɛ k a p a ʔ i ( j ) o
èkaqoe(w)aie	è k a q oe ( w ) a ie	ɛ k a ʔ u ( w ) a i
èkieoedahjo	è k ie oe d a h j o	ɛ k i u d a h j o
èkieoedie	è k ie oe d ie	ɛ k i u d i
èkietaäpoe(w)aq	è k ie t a ä p oe ( w ) a q	ɛ k i t a ʔ a p u ( w ) a ʔ
èkoe(w)èq	è k oe ( w ) è q	ɛ k u ( w ) ɛ ʔ
èloietjaq	è l o ie tj a q	ɛ l o i t͡ʃ a ʔ
èmoenèqä	è m oe n è qä	ɛ m u n ɛ ʔ a
èokoödoq	è o k o ö d o q	ɛ o k o ʔ o d o ʔ
èpaoe(w)oko	è p a oe ( w ) o k o	ɛ p a u ( w ) o k o
èkanawèq	è k a n a w è q	ɛ k a n a w ɛ ʔ
èkèma	è k è m a	ɛ k ɛ m a
èakadie(j)o	è a k a d ie ( j ) o	ɛ a k a d i ( j ) o
èakaka	è a k a k a	ɛ a k a k a
èakakaie	è a k a k a ie	ɛ a k a k a i
èakano	è a k a n o	ɛ a k a n o
è(a)karoba	è ( a ) k a r o b a	ɛ ( a ) k a r o b a
èakieakie	è a k ie a k ie	ɛ a k i a k i
èakieie	è a k ie ie	ɛ a k i i
èakomaq	è a k o m a q	ɛ a k o m a ʔ
èamaha	è a m a h a	ɛ a m a h a
èamajoq	è a m a j o q	ɛ a m a j o ʔ
èamaniekie	è a m a n ie k ie	ɛ a m a n i k i
èamè	è a m è	ɛ a m ɛ
èamieamie	è a m ie a m ie	ɛ a m i a m i
èana	è a n a	ɛ a n a
èanèka	è a n è k a	ɛ a n ɛ k a
èanèha	è a n è h a	ɛ a n ɛ h a
èanokanie	è a n o k a n ie	ɛ a n o k a n i
èanonöoe	è a n o n ö oe	ɛ a n o n ɨ u
èaoedahohoe	è a oe d a h o h oe	ɛ a u d a h o h u
èaoekaä	è a oe k a ä	ɛ a u k a ʔ a
èaohaq	è a o h a q	ɛ a o h a ʔ
èaokieie	è a o k ie ie	ɛ a o k i i
èapakoe	è a p a k oe	ɛ a p a k u
èapama	è a p a m a	ɛ a p a m a
èapaq	è a p a q	ɛ a p a ʔ
èapara	è a p a r a	ɛ a p a r a
èapo	è a p o	ɛ a p o
èapoe	è a p oe	ɛ a p u
èapoe èkoe(w)o	è a p oe # è k oe ( w ) o	ɛ a p u # ɛ k u ( w ) o
èapoeaka	è a p oe a k a	ɛ a p u a k a
èapoeq	è a p oe q	ɛ a p u ʔ
èapoie	è a p o ie	ɛ a p o i
èa(q)	è a ( q )	ɛ a ( ʔ )
èara	è a r a	ɛ a r a
èara: èhöda	è a r a : # è h ö d a	ɛ a r a : # ɛ h ɨ d a
èmanie	è m a n ie	ɛ m a n i
(oe)èkieho	( oe ) è k ie h o	( u ) ɛ k i ç o
(oe)kieadoboe	( oe ) k ie a d o b oe	( u ) k i a d o b u
(oe)wabèha	( oe ) w a b è h a	( u ) w a b ɛ h a
(oe)äie	( oe ) ä ie	( u ) ʔ a i
(oe)apo	( oe ) a p o	( u ) a p o
baära	b a ä r a	b a ʔ a r a
èaraboeka	è a r a b oe k a	ɛ a r a b u k a
èaraqko(w)a	è a r a q k o ( w ) a	ɛ a r a ʔ k o ( w ) a
èaroekèrè	è a r oe k è r è	ɛ a r u k ɛ r ɛ
èaroe(w)a	è a r oe ( w ) a	ɛ a r u ( w ) a
èaroja	è a r o j a	ɛ a r o j a
èaropa	è a r o p a	ɛ a r o p a
èaroqä	è a r o qä	ɛ a r o ʔ a
èatjara	è a tj a r a	ɛ a t͡ʃ a r a
èawaq	è a w a q	ɛ a w a ʔ
èba	è b a	ɛ b a
èbaba	è b a b a	ɛ b a b a
èbadjiedjo	è b a dj ie dj o	ɛ b a d͡ʒ i d͡ʒ o
èbaho	è b a h o	ɛ b a h o
èbaie	è b a ie	ɛ b a i
èbaka	è b a k a	ɛ b a k a
èbaka: (è)oewè	è b a k a : # ( è ) oe w è	ɛ b a k a : # ( ɛ ) u w ɛ
(oe)kahaoq	( oe ) k a h a o q	( u ) k a h a o ʔ
(oe)kiedjaie	( oe ) k ie dj a ie	( u ) k i d͡ʒ a i
(oe)kokoq	( oe ) k o k o q	( u ) k o k o ʔ
(oe)oemo	( oe ) oe m o	( u ) u m o
