Left	Grapheme	Right	Class	Replacement	Frequency
	oeoe			u ' u	19
(ai)	h			x	0
(?<!a)i	h			x	0
	nj			ñ	8
	tj			c	12
	dj			j	39
[aiueo]	ä			' a	94
[aiueo]\(	ä			' a	5
[aiueo]\)	ä			' a	1
[aiueo]	ö			' o	59
[aiueo]\(	ö			' o	6
[aiueo]\)	ö			' o	0
[^aiueo()]	ö			u̇	46
[^aiueo]\(	ö			u̇	0
[^aiueo]\)	ö			u̇	2
	ää			a ' a	1
	qä			' a	19
	\(q\)ä			( ' ) a	1
	ie			i	931
	ié			i	0
	iè			i	1
	oe			u	584
	oè			u	8
	ĕä			ė ' a	0
	öä			o ' a	0
	ïï			i ' i	0
	öö			o ' o	0
	ä\(ä\)			a ( ' a)	0
	 			 	124
	\(			(	467
	\)			)	467
	\,			,	1
	\:			:	11
	\;			;	16
	\?			?	2
	a			a	1871
	á			a	1
	à			a	0
	ä			' a	4
	b			b	210
	d			d	306
	e			e	2
	é			e	1
	è			E	990
	ĕ			ė	44
	ě			ė	0
	f			f	5
	g			g	7
	h			h	537
	i			i	4
	j			y	242
	k			k	1045
	l			l	46
	m			m	141
	n			n	337
	o			o	900
	p			p	481
	q			'	344
	r			r	136
	t			t	37
	u			u	2
	w			w	163
