originals	errors
5	abako(w)a; abako(w)ĕ	a b a k o ( w ) a ; ⁇ a b a k o ( w ) ĕ
14	arieba; aliebĕ	a r ie b a ; ⁇ a l ie b ĕ
15	arieba hie adoe(w)a; aliebĕ hie adoe(w)ĕ	a r ie b a ⁇ h ie ⁇ a d oe ( w ) a ; ⁇ a l ie b ĕ ⁇ h ie ⁇ a d oe ( w ) ĕ
17	aroe(w)a; adoe(w)ĕ	a r oe ( w ) a ; ⁇ a d oe ( w ) ĕ
44	amoeno; moeno; kĕno; koeno	a m oe n o ; ⁇ m oe n o ; ⁇ k ĕ n o ; ⁇ k oe n o
49	èkiena; èkienĕ	è k ie n a ; ⁇ è k ie n ĕ
70	aroekoe(w)o è(a)karoba	a r oe k oe ( w ) o ⁇ è ( a ) k a r o b a
105	èoä(h)ko; èaä(h)kĕ; èoähkĕ	è o ä ( h ) k o ; ⁇ è a ä ( h ) k ĕ ; ⁇ è o ä h k ĕ
106	moä(h)ko; maä(h)kĕ; moä(h)kĕ	m o ä ( h ) k o ; ⁇ m a ä ( h ) k ĕ ; ⁇ m o ä ( h ) k ĕ
186	èafoe èkoe(w)ĕ	è a f oe ⁇ è k oe ( w ) ĕ
215	èbaka: èoewĕ	è b a k a : ⁇ è oe w ĕ
230	ètaboeho; ètafoehĕ	è t a b oe h o ; ⁇ è t a f oe h ĕ
231	ètaboeho; ètafoehĕ	è t a b oe h o ; ⁇ è t a f oe h ĕ
258	èloboe kanapoe(w)a	è l o b oe ⁇ k a n a p oe ( w ) a
262	èdĕhoie; èdjĕhoie	è d ĕ h o ie ; ⁇ è dj ĕ h o ie
263	kiedĕhoie; kiedjĕhoie	k ie d ĕ h o ie ; ⁇ k ie dj ĕ h o ie
267	iedopo; ètofo; ietofo	ie d o p o ; ⁇ è t o f o ; ⁇ ie t o f o
284	èènono: oefĕ	è è n o n o : ⁇ oe f ĕ
335	èèdjie; èietjie	è è dj ie ; ⁇ è ie tj ie
359	ie(j)araq noeha	ie ( j ) a r a q ⁇ n oe h a
388	èkaie(oe)lahoe(hoe); èkaèdaho; èkaèlaho	è k a ie ( oe ) l a h oe ( h oe ) ; ⁇ è k a è d a h o ; ⁇ è k a è l a h o
405	èkĕlèpè; èkalèpè	è k ĕ l è p è ; ⁇ è k a l è p è
408	èkaliehĕ oe(w)afĕ	è k a l ie h ĕ ⁇ oe ( w ) a f ĕ
425	èkietaie; èkiedaie	è k ie t a ie ; ⁇ è k ie d a ie
516	ènaè(na): oe(w)afĕ	è n a è ( n a ) : ⁇ oe ( w ) a f ĕ
