Left	Grapheme	Right	Class	Replacement	Phoneme	Frequency
	\-			-	-	0
	ie			i	i	345
	oeoe			u ' u	u ʔ u	3
	nj			ñ	ɲ	3
	tj			c	t͡ʃ	1
	dj			j	d͡ʒ	11
[aiueo]	ä			' a	ʔ a	41
[aiueo]\(	ä			' a	ʔ a	0
[aiueo]\)	ä			' a	ʔ a	0
[aiueo]	ö			' o	ʔ o	10
[aiueo]\(	ö			' o	ʔ o	2
[aiueo]\)	ö			' o	ʔ o	0
[^aiueo()]	ö			u̇	ɨ	17
[^aiueo]\(	ö			u̇	ɨ	0
[^aiueo]\)	ö			u̇	ɨ	0
	ää			a ' a	a ʔ a	0
	qä			' a	ʔ a	4
	\(q\)ä			( ' ) a	( ʔ ) a	0
	ié			i	i	0
	iè			i	i	1
	oe			u	u	253
	oè			u	u	6
	öä			o ' a	o ʔ a	0
	ïï			i ' i	i ʔ a	0
	öö			o ' o	o ʔ o	0
	ä\(ä\)			a ( ' a)	a ( ʔ a)	0
(ie)	h			x	ç	19
(ai)	h			x	ç	0
(?<!a)i	h			x	ç	0
	\(			(	(	221
	\)			)	)	221
	\/			/	/	0
	;			;	;	64
	,			,	,	2
	\?			?	?	2
	\[			[	[	0
	\]			]	]	0
	\:			:	:	9
	 			 	 	149
	a			a	a	684
	ä			' a	ʔ a	2
	à			a	a	1
	á			a	a	0
	ā			ā	aː	0
	ã			ã	ã	0
	b			b	b	66
	d			d	d	61
	e			e	e	2
	é			e	e	0
	è			E	ɛ	402
	ĕ			ė	ə	166
	ě			ė	ə	0
	f			f	f	222
	g			g	g	0
	h			h	h	184
	i			i	i	7
	ĩ			ĩ	ĩ	0
	j			y	j	86
	k			k	k	351
	l			l	l	67
	m			m	m	45
	n			n	n	124
	o			o	o	291
	õ			õ	ɔ͂	0
	p			p	p	79
	q			'	ʔ	121
	r			r	r	106
	t			t	t	35
	u			u	u	3
	w			w	w	76
