originals	tokenized	transliterated
NA	NA	NA
aäfoe(w)a(q)	a ä f oe ( w ) a ( q )	a ʔ a f u ( w ) a ( ʔ )
NA	NA	NA
abaiekahaèq	a b a ie k a h a è q	a b a i k a h a ɛ ʔ
abako(w)a; abako(w)ĕ	a b a k o ( w ) a ; # a b a k o ( w ) ĕ	a b a k o ( w ) a ; # a b a k o ( w ) ə
NA	NA	NA
NA	NA	NA
wabèha	w a b è h a	w a b ɛ h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
arèq	a r è q	a r ɛ ʔ
arie	a r ie	a r i
arieba; aliebĕ	a r ie b a ; # a l ie b ĕ	a r i b a ; # a l i b ə
arieba hie adoe(w)a; aliebĕ hie adoe(w)ĕ	a r ie b a # h ie # a d oe ( w ) a ; # a l ie b ĕ # h ie # a d oe ( w ) ĕ	a r i b a # h i # a d u ( w ) a ; # a l i b ə # h i # a d u ( w ) ə
NA	NA	NA
aroe(w)a; adoe(w)ĕ	a r oe ( w ) a ; # a d oe ( w ) ĕ	a r u ( w ) a ; # a d u ( w ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aèkoie	a è k o ie	a ɛ k o i
aèkoie(j)aq	a è k o ie ( j ) a q	a ɛ k o i ( j ) a ʔ
NA	NA	NA
akieäkienĕ	a k ie ä k ie n ĕ	a k i ʔ a k i n ə
akietaq	a k ie t a q	a k i t a ʔ
NA	NA	NA
NA	NA	NA
akèhaäq	a k è h a ä q	a k ɛ h a ʔ a ʔ
akènaie	a k è n a ie	a k ɛ n a i
NA	NA	NA
akoroe	a k o r oe	a k o r u
NA	NA	NA
èahèaqja	è a h è a q j a	ɛ a h ɛ a ʔ j a
NA	NA	NA
NA	NA	NA
amoeno; moeno; kĕno; koeno	a m oe n o ; # m oe n o ; # k ĕ n o ; # k oe n o	a m u n o ; # m u n o ; # k ə n o ; # k u n o
NA	NA	NA
amoeafĕ	a m oe a f ĕ	a m u a f ə
amoho	a m o h o	a m o h o
NA	NA	NA
èkiena; èkienĕ	è k ie n a ; # è k ie n ĕ	ɛ k i n a ; # ɛ k i n ə
NA	NA	NA
waniemaie	w a n ie m a ie	w a n i m a i
NA	NA	NA
NA	NA	NA
anoqoe	a n o q oe	a n o ʔ u
NA	NA	NA
NA	NA	NA
NA	NA	NA
anoqè(j)ĕ	a n o q è ( j ) ĕ	a n o ʔ ɛ ( j ) ə
NA	NA	NA
aoeloe	a oe l oe	a u l u
a(o)fa	a ( o ) f a	a ( o ) f a
a(o)fahiea(o)fa	a ( o ) f a h ie a ( o ) f a	a ( o ) f a h i a ( o ) f a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aroekoe(w)o	a r oe k oe ( w ) o	a r u k u ( w ) o
aroekoe(w)o è(a)karoba	a r oe k oe ( w ) o # è ( a ) k a r o b a	a r u k u ( w ) o # ɛ ( a ) k a r o b a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
bahabaiebĕ	b a h a b a ie b ĕ	b a h a b a i b ə
NA	NA	NA
baöadie	b a ö a d ie	b a ʔ o a d i
NA	NA	NA
NA	NA	NA
NA	NA	NA
bèdie	b è d ie	b ɛ d i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
daiekahadie(j)ĕ	d a ie k a h a d ie ( j ) ĕ	d a i k a h a d i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
die(j)ĕ	d ie ( j ) ĕ	d i ( j ) ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èoä(h)ko; èaä(h)kĕ; èoähkĕ	è o ä ( h ) k o ; # è a ä ( h ) k ĕ ; # è o ä h k ĕ	ɛ o ʔ a ( h ) k o ; # ɛ a ʔ a ( h ) k ə ; # ɛ o ʔ a h k ə
moä(h)ko; maä(h)kĕ; moä(h)kĕ	m o ä ( h ) k o ; # m a ä ( h ) k ĕ ; # m o ä ( h ) k ĕ	m o ʔ a ( h ) k o ; # m a ʔ a ( h ) k ə ; # m o ʔ a ( h ) k ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èabarie(j)o	è a b a r ie ( j ) o	ɛ a b a r i ( j ) o
èabaoekietaie	è a b a oe k ie t a ie	ɛ a b a u k i t a i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èahabaoedĕ	è a h a b a oe d ĕ	ɛ a h a b a u d ə
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
èahèdie(j)ĕ	è a h è d ie ( j ) ĕ	ɛ a h ɛ d i ( j ) ə
èahoefoq	è a h oe f o q	ɛ a h u f o ʔ
èahofè	è a h o f è	ɛ a h o f ɛ
NA	NA	NA
èajĕ	è a j ĕ	ɛ a j ə
