originals	tokenized	transliterated
NA	NA	NA
aäfoe(w)a(q)	a ä f oe ( w ) a ( q )	a ' a f u ( w ) a ( ' )
NA	NA	NA
abaiekahaèq	a b a ie k a h a è q	a b a i k a h a E '
abako(w)a; abako(w)ĕ	a b a k o ( w ) a ; # a b a k o ( w ) ĕ	a b a k o ( w ) a ; # a b a k o ( w ) ė
NA	NA	NA
NA	NA	NA
wabèha	w a b è h a	w a b E h a
NA	NA	NA
NA	NA	NA
NA	NA	NA
arèq	a r è q	a r E '
arie	a r ie	a r i
arieba; aliebĕ	a r ie b a ; # a l ie b ĕ	a r i b a ; # a l i b ė
arieba hie adoe(w)a; aliebĕ hie adoe(w)ĕ	a r ie b a # h ie # a d oe ( w ) a ; # a l ie b ĕ # h ie # a d oe ( w ) ĕ	a r i b a # h i # a d u ( w ) a ; # a l i b ė # h i # a d u ( w ) ė
NA	NA	NA
aroe(w)a; adoe(w)ĕ	a r oe ( w ) a ; # a d oe ( w ) ĕ	a r u ( w ) a ; # a d u ( w ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aèkoie	a è k o ie	a E k o i
aèkoie(j)aq	a è k o ie ( j ) a q	a E k o i ( j ) a '
NA	NA	NA
akieäkienĕ	a k ie ä k ie n ĕ	a k i ' a k i n ė
akietaq	a k ie t a q	a k i t a '
NA	NA	NA
NA	NA	NA
akèhaäq	a k è h a ä q	a k E h a ' a '
akènaie	a k è n a ie	a k E n a i
NA	NA	NA
akoroe	a k o r oe	a k o r u
NA	NA	NA
èahèaqja	è a h è a q j a	E a h E a ' j a
NA	NA	NA
NA	NA	NA
amoeno; moeno; kĕno; koeno	a m oe n o ; # m oe n o ; # k ĕ n o ; # k oe n o	a m u n o ; # m u n o ; # k ė n o ; # k u n o
NA	NA	NA
amoeafĕ	a m oe a f ĕ	a m u a f ė
amoho	a m o h o	a m o h o
NA	NA	NA
èkiena; èkienĕ	è k ie n a ; # è k ie n ĕ	E k i n a ; # E k i n ė
NA	NA	NA
waniemaie	w a n ie m a ie	w a n i m a i
NA	NA	NA
NA	NA	NA
anoqoe	a n o q oe	a n o ' u
NA	NA	NA
NA	NA	NA
NA	NA	NA
anoqè(j)ĕ	a n o q è ( j ) ĕ	a n o ' E ( j ) ė
NA	NA	NA
aoeloe	a oe l oe	a u l u
a(o)fa	a ( o ) f a	a ( o ) f a
a(o)fahiea(o)fa	a ( o ) f a h ie a ( o ) f a	a ( o ) f a h i a ( o ) f a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
aroekoe(w)o	a r oe k oe ( w ) o	a r u k u ( w ) o
aroekoe(w)o è(a)karoba	a r oe k oe ( w ) o # è ( a ) k a r o b a	a r u k u ( w ) o # E ( a ) k a r o b a
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
bahabaiebĕ	b a h a b a ie b ĕ	b a h a b a i b ė
NA	NA	NA
baöadie	b a ö a d ie	b a ' o a d i
NA	NA	NA
NA	NA	NA
NA	NA	NA
bèdie	b è d ie	b E d i
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
daiekahadie(j)ĕ	d a ie k a h a d ie ( j ) ĕ	d a i k a h a d i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
die(j)ĕ	d ie ( j ) ĕ	d i ( j ) ė
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
