Left	Grapheme	Right	Class	Replacement	Frequency
	oeoe			u ' u	0
(ai)	h			x	0
(?<!a)i	h			x	0
	nj			ñ	0
	tj			c	0
	dj			j	0
[aiueo]	ä			' a	0
[aiueo]\(	ä			' a	0
[aiueo]\)	ä			' a	0
[aiueo]	ö			' o	1
[aiueo]\(	ö			' o	0
[aiueo]\)	ö			' o	0
[^aiueo()]	ö			u̇	2
[^aiueo]\(	ö			u̇	0
[^aiueo]\)	ö			u̇	0
	ää			a ' a	0
	qä			' a	0
	\(q\)ä			( ' ) a	0
	ie			i	13
	ié			i	0
	iè			i	0
	oe			u	19
	oè			u	0
	ĕä			ė ' a	0
	öä			o ' a	0
	ïï			i ' i	0
	öö			o ' o	0
	ä\(ä\)			a ( ' a)	0
	 			 	2
	\(			(	9
	\)			)	9
	\,			,	0
	\:			:	0
	\;			;	1
	\?			?	0
	a			a	47
	á			a	0
	à			a	0
	ä			ʔ a	0
	b			b	10
	d			d	11
	e			e	0
	é			e	1
	è			E	19
	ĕ			ė	4
	ě			ė	0
	f			f	0
	g			g	0
	h			h	12
	i			i	1
	j			j	7
	k			k	16
	l			l	2
	m			m	6
	n			n	10
	o			o	15
	p			p	8
	q			'	3
	r			r	6
	t			t	1
	u			u	1
	w			w	3
